name,country,region,winery,rating,number_of_ratings,price,since,origin_appellation
Pannobile 2015,Austria,Burgenland,Pittnauer,3.9,106,22.13,20/04/1999,false
Tempus 2018,Italy,Veneto,Stefano Accordini,3.8,106,10.42,07/02/2003,true
Le Clos des Fées (Hervé Bizeul) 2013,France,Côtes du Roussillon,Domaine du Clos des Fées,4.1,106,52.53,03/04/2017,true
Tío Martín Crianza 2016,Spain,Rioja,D. Mateos,3.8,106,15.69,16/08/2012,false
Vigna Del Mandorlo Dolcetto d'Alba 2017,Italy,Dolcetto d'Alba,Elvio Cogno,3.4,106,11.50,23/11/2000,false
Barolo Bussia 2015,Italy,Barolo,Prunotto,4.1,106,69.00,11/04/2001,true
Tinto 2015,Spain,Rioja,Gran Familia,3.5,106,5.80,17/07/2013,true
Finca Cuesta Clara Raro Reserva 2015,Spain,Rioja,Campillo,4.2,106,39.99,16/04/2008,true
Fronsac 2005,France,Fronsac,Château la Vieille Cure,4.0,106,39.95,12/11/2004,false
Ventoux 2016,France,Ventoux,Xavier Vignon,3.6,106,8.20,17/04/2002,true
Hussonet Cabernet Sauvignon Gran Reserva 2015,Chile,Maipo Valley,Haras de Pirque,3.7,1060,15.95,02/07/2012,true
Salice Salentino Riserva 2016,Italy,Salice Salentino,Marchese di Borgosole,3.9,1061,8.49,19/04/1999,true
Chianti Classico 2016,Italy,Chianti Classico,Isole e Olena,3.9,1063,20.86,25/11/2009,false
Joseph Meczan Pinot Nero - Blauburgunder Alto Adige 2016,Italy,Südtirol - Alto Adige,J. Hofstätter,3.6,1064,13.48,25/07/2001,false
Brunello di Montalcino 2014,Italy,Brunello di Montalcino,Tenuta Il Poggione,4.2,1065,36.63,20/09/1999,false
Cabernet Sauvignon 2015,United States,Columbia Valley,Columbia Winery,3.8,1065,17.75,18/03/2002,true
Saint-Julien (Grand Cru Classé) 2009,France,Saint-Julien,Château Léoville Barton,4.4,1066,133.06,30/06/2001,true
Pessac-Léognan (Grand Cru Classé de Graves) 2005,France,Pessac-Léognan,Château Smith Haut-Lafitte,4.4,1066,169.95,25/08/2011,true
Cabernet Sauvignon 2013,Mexico,Valle de Guadalupe,L. A. Cetto,3.4,1066,8.65,02/06/2002,false
Malbec 2017,Argentina,Mendoza,Catena,4.1,10676,13.50,21/09/2010,true
Saint-Estèphe (Grand Cru Classé) 2009,France,Saint-Estèphe,Château Lafon-Rochet,4.2,1069,75.98,03/07/2019,false
Amarone della Valpolicella Classico 2014,Italy,Amarone della Valpolicella Classico,Bolla,4.1,1069,28.99,25/06/1999,false
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2014,France,Saint-Émilion Grand Cru,Château Belair-Monange,4.0,107,130.97,12/12/2011,true
Margaux (Grand Cru Classé) 2017,France,Margaux,Château Lascombes,4.0,107,86.76,22/06/2003,false
Pauillac (Grand Cru Classé) 2017,France,Pauillac,Château d'Armailhac,3.9,107,52.64,06/04/2007,false
Figure Libre Freestyle Rouge 2018,France,Pays d'Oc,Gayda,3.7,107,11.45,03/06/2004,false
Pinot Noir 2018,France,Pays d'Oc,La Forge Estate,3.6,107,7.27,20/08/2004,false
Tinto 2018,Spain,Alicante,Vergel,3.6,107,7.35,16/02/2010,true
Les Coteaux Cabernet Sauvignon 2015,South Africa,Wellington,Mont du Toit,3.8,107,11.50,01/07/2011,false
Mayro Montepulciano d'Abruzzo 2015,Italy,Montepulciano d'Abruzzo,Fosso Corno,3.7,107,7.75,27/10/2007,true
